filename,source_project,source_title,source_url,author,license,license_url,notes
mandarin_ipa_glottal_stop.mp3,Wikimedia Commons IPA chart audio,File:Glottal stop.ogg for [ʔ],https://commons.wikimedia.org/wiki/File:Glottal_stop.ogg,Wikimedia Commons contributors; see source file page,See source file page,https://commons.wikimedia.org/wiki/File:Glottal_stop.ogg,Direct IPA chart audio from https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio.
mandarin_ipa_h.mp3,Wikimedia Commons IPA chart audio,File:Voiceless glottal fricative.ogg for [h],https://commons.wikimedia.org/wiki/File:Voiceless_glottal_fricative.ogg,Wikimedia Commons contributors; see source file page,See source file page,https://commons.wikimedia.org/wiki/File:Voiceless_glottal_fricative.ogg,Direct IPA chart audio from https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio.
mandarin_ipa_i.mp3,Wikimedia Commons IPA chart audio,File:Close front unrounded vowel.ogg for [i],https://commons.wikimedia.org/wiki/File:Close_front_unrounded_vowel.ogg,Wikimedia Commons contributors; see source file page,See source file page,https://commons.wikimedia.org/wiki/File:Close_front_unrounded_vowel.ogg,Direct IPA chart audio from https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio.
mandarin_ipa_j.mp3,Wikimedia Commons IPA chart audio,File:Palatal approximant.ogg for [j],https://commons.wikimedia.org/wiki/File:Palatal_approximant.ogg,Wikimedia Commons contributors; see source file page,See source file page,https://commons.wikimedia.org/wiki/File:Palatal_approximant.ogg,Direct IPA chart audio from https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio.
mandarin_ipa_j_stroked.mp3,Pinyin syllable demo,zispace/hanyu-pinyin-audio pinyin syllable ji1.mp3 for [ɉ],https://github.com/zispace/hanyu-pinyin-audio/releases/tag/v0.1,zispace/hanyu-pinyin-audio source archive contributors,See upstream source archive,https://github.com/zispace/hanyu-pinyin-audio/releases/tag/v0.1,"Auxiliary audio from github-hugolpz-audio.zip. This is a full Mandarin syllable demo, not isolated IPA-symbol audio. nearest Mandarin j-like syllable demo"
mandarin_ipa_k.mp3,Wikimedia Commons IPA chart audio,File:Voiceless velar plosive.ogg for [k],https://commons.wikimedia.org/wiki/File:Voiceless_velar_plosive.ogg,Wikimedia Commons contributors; see source file page,See source file page,https://commons.wikimedia.org/wiki/File:Voiceless_velar_plosive.ogg,Direct IPA chart audio from https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio.
mandarin_ipa_k_aspirated.mp3,Pinyin syllable demo,zispace/hanyu-pinyin-audio pinyin syllable ka1.mp3 for [kʰ],https://github.com/zispace/hanyu-pinyin-audio/releases/tag/v0.1,zispace/hanyu-pinyin-audio source archive contributors,See upstream source archive,https://github.com/zispace/hanyu-pinyin-audio/releases/tag/v0.1,"Auxiliary audio from github-hugolpz-audio.zip. This is a full Mandarin syllable demo, not isolated IPA-symbol audio. aspirated Mandarin k in ka1"
mandarin_ipa_l.mp3,Wikimedia Commons IPA chart audio,File:Alveolar lateral approximant.ogg for [l],https://commons.wikimedia.org/wiki/File:Alveolar_lateral_approximant.ogg,Wikimedia Commons contributors; see source file page,See source file page,https://commons.wikimedia.org/wiki/File:Alveolar_lateral_approximant.ogg,Direct IPA chart audio from https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio.
mandarin_ipa_labiopalatal_approximant.mp3,Wikimedia Commons IPA chart audio,File:LL-Q150 (fra)-WikiLucas00-IPA ɥ.wav for [ɥ],https://commons.wikimedia.org/wiki/File:LL-Q150_(fra)-WikiLucas00-IPA_ɥ.wav,Wikimedia Commons contributors; see source file page,See source file page,https://commons.wikimedia.org/wiki/File:LL-Q150_(fra)-WikiLucas00-IPA_ɥ.wav,Direct IPA chart audio from https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio.
mandarin_ipa_m.mp3,Wikimedia Commons IPA chart audio,File:Bilabial nasal.ogg for [m],https://commons.wikimedia.org/wiki/File:Bilabial_nasal.ogg,Wikimedia Commons contributors; see source file page,See source file page,https://commons.wikimedia.org/wiki/File:Bilabial_nasal.ogg,Direct IPA chart audio from https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio.
